Timestamp (seconds),Speed (km/h),Latitude coordinate (degrees),Longitude coordinate (degrees),Altitude (meters),Vertical accuracy (degrees),Horizontal accuracy (degrees),Course (degrees),Difcourse: course variation (degrees),Boolean of system activated (1 if >50km/h),Acceleration in X (Gs),Acceleration in Y (Gs),Acceleration in Z (Gs),Acceleration in X filtered by KF (Gs),Acceleration in Y filtered by KF (Gs),Acceleration in Z filtered by KF (Gs),Roll (degrees),Pitch (degrees),Yaw (degrees),X: car position relative to lane center (meters),Phi: car angle relative to lane curvature (degrees),W: road width (meters),"State of the lane det. algorithm [-1=calibrating, 0=initializing, 1=undetected, 2=detected/running]",Distance to ahead vehicle in current lane (meters) [value -1 means no car is detected in front],Time of impact to ahead vehicle (seconds) [distance related to own speed],Number of detected vehicles in this frame (traffic),GPS speed (km/h) [same as in RAW GPS],Maximum allowed speed of current road (km/h),"Reliability of obtained maxspeed (0=unknown, 1=reliable, 2=used previously obtained maxspeed,3=estimated by type of road)","Type of road (1, trunk, secondary...)",Number of lanes in current road,"Estimated current lane (1=right lane, 2=first left lane, 3=second left lane, etc) [experimental]",GPS Latitude used to query OSM (degrees),GPS Longitude used to query OSM (degrees),OSM delay to answer query (seconds),GPS speed (km/h) [same as in RAW GPS]],Behavior
12.9,78.8,40.506252,-3.355367,636.5,16,30,272.5,87.539,1,-0.089,-0.041,-0.065,0.017,-0.001,-0.029,-1.678,-0.014,-0.896,0,0,3.5,-1,-1,-1,0,78.8,120,1,1,3,1,40.505798,-3.355895,1.52,85.7,0
13.93,82.7,40.505802,-3.355622,605.9,4,5,273.9,1.406,1,-0.04,-0.016,-0.094,-0.013,-0.012,-0.064,-1.658,-0.002,-0.911,0,0,3.5,-1,-1,-1,0,82.7,120,1,1,3,1,40.505798,-3.355895,1.52,85.7,0
14.89,85.5,40.505798,-3.355894,606.3,6,5,274.6,2.109,1,0.028,-0.06,-0.088,0.029,-0.046,-0.085,-1.623,0.007,-0.908,0.294,0.034,3.219,2,-1,-1,0,85.5,120,1,1,3,1,40.505798,-3.355895,1.52,85.7,0
15.88,85.7,40.50581,-3.356182,606.9,6,5,274.9,1.055,1,-0.048,0,-0.02,-0.046,-0.018,-0.043,-1.574,0.014,-0.903,-0.2,-0.03,3.027,2,-1,-1,0,85.7,120,1,1,3,1,40.505798,-3.355895,1.52,85.7,0
16.88,85.5,40.505817,-3.356466,606.4,6,5,274.9,0.352,1,0.068,-0.005,-0.019,0.051,0.019,-0.011,-1.563,0.021,-0.889,-0.732,-0.048,3.238,2,-1,-1,0,85.5,120,1,1,3,1,40.505798,-3.355895,1.52,85.7,0
17.88,85.6,40.505829,-3.356743,606,6,5,274.6,0.352,1,-0.008,0.014,0.002,0.008,0.023,-0.012,-1.541,0.005,-0.889,-1.534,-0.018,3.447,2,-1,-1,0,85.6,90,1,1,2,-1,40.505817,-3.356466,1.23,85.6,0
18.91,85.2,40.505844,-3.357017,605.4,6,5,274.9,0.352,1,-0.042,-0.045,0.015,-0.043,-0.029,0.013,-1.553,0.001,-0.89,0.916,0.263,3.307,2,-1,-1,1,85.2,90,1,1,2,-1,40.505817,-3.356466,1.23,85.6,0
19.89,86,40.505863,-3.357301,604.9,6,5,275.3,0.703,1,-0.024,-0.033,0.006,-0.022,-0.002,0.011,-1.56,0.01,-0.887,0.833,0,3.277,2,-1,-1,1,86,90,1,1,2,-1,40.505844,-3.357018,1.778,86,0
20.87,87.2,40.505878,-3.357584,604.5,4,5,275.6,0.703,1,0.022,-0.002,-0.007,-0.014,0.003,-0.024,-1.555,0.002,-0.884,0.701,-0.006,3.208,2,10.61,0.44,1,87.2,90,1,1,2,-1,40.505844,-3.357018,1.778,86,0
21.89,87,40.505898,-3.357868,604.1,4,5,276,0.703,1,0.042,0.001,-0.031,0.014,-0.007,-0.004,-1.542,0.003,-0.885,0.523,0.075,3.255,2,12.77,0.53,1,87,120,1,1,4,-1,40.505878,-3.357584,1.326,87,0
